dataset,model_family,max_df,min_df,max_features,silhouette_score
Wikipedia Corpus,K-Means,0.9,5,200,0.05995320922411613
Wikipedia Corpus,GMM,0.9,5,200,0.11202254136064087
Wikipedia Corpus,Hierarchical,0.9,5,200,0.09800843074226091
Wikipedia Corpus,K-Means,0.9,5,500,0.04271812390796939
Wikipedia Corpus,GMM,0.9,5,500,0.12063140302041987
Wikipedia Corpus,Hierarchical,0.9,5,500,0.10405212359965814
Wikipedia Corpus,K-Means,0.9,5,1000,0.030767811889238196
Wikipedia Corpus,GMM,0.9,5,1000,0.09479345382979874
Wikipedia Corpus,Hierarchical,0.9,5,1000,0.12029982012913595
Wikipedia Corpus,K-Means,0.9,5,10000,0.013945530421721688
Wikipedia Corpus,GMM,0.9,5,10000,0.09633616395948273
Wikipedia Corpus,Hierarchical,0.9,5,10000,0.13367162426887189
